line_num,image_path,label,croplabel,xmin,ymin,xmax,ymax
1,kaggle/input/kag2/sugarcane/sugarcane032ahs.jpeg,sugarcane,3,0,0,224,224
2,kaggle/input/kag2/sugarcane/sugarcane022ahs.jpeg,sugarcane,3,0,0,224,224
3,kaggle/input/kag2/sugarcane/sugarcane033arot.jpeg,sugarcane,3,0,0,224,224
4,kaggle/input/kag2/sugarcane/sugarcane040ahs.jpeg,sugarcane,3,0,0,224,224
5,kaggle/input/kag2/sugarcane/sugarcane032arot.jpeg,sugarcane,3,0,0,224,224
6,kaggle/input/kag2/sugarcane/sugarcane034a.jpeg,sugarcane,3,0,0,224,224
7,kaggle/input/kag2/sugarcane/sugarcane040ahf.jpeg,sugarcane,3,0,0,224,224
8,kaggle/input/kag2/sugarcane/sugarcane032ahf.jpeg,sugarcane,3,0,0,224,224
9,kaggle/input/kag2/sugarcane/sugarcane022ahf.jpeg,sugarcane,3,0,0,224,224
10,kaggle/input/kag2/sugarcane/sugarcane009a.jpeg,sugarcane,3,0,0,224,224
11,kaggle/input/kag2/sugarcane/sugarcane039arot.jpeg,sugarcane,3,0,0,224,224
12,kaggle/input/kag2/sugarcane/sugarcane038arot.jpeg,sugarcane,3,0,0,224,224
13,kaggle/input/kag2/sugarcane/sugarcane014ahf.jpeg,sugarcane,3,0,0,224,224
14,kaggle/input/kag2/sugarcane/sugarcane036a.jpeg,sugarcane,3,0,0,224,224
15,kaggle/input/kag2/sugarcane/sugarcane012a.jpeg,sugarcane,3,0,0,224,224
16,kaggle/input/kag2/sugarcane/sugarcane007arot.jpeg,sugarcane,3,0,0,224,224
17,kaggle/input/kag2/sugarcane/sugarcane006arot.jpeg,sugarcane,3,0,0,224,224
18,kaggle/input/kag2/sugarcane/sugarcane014ahs.jpeg,sugarcane,3,0,0,224,224
19,kaggle/input/kag2/sugarcane/sugarcane0004arot.jpeg,sugarcane,3,0,0,224,224
20,kaggle/input/kag2/sugarcane/sugarcane024arot.jpeg,sugarcane,3,0,0,224,224
21,kaggle/input/kag2/sugarcane/sugarcane005ahf.jpeg,sugarcane,3,0,0,224,224
22,kaggle/input/kag2/sugarcane/sugarcane025arot.jpeg,sugarcane,3,0,0,224,224
23,kaggle/input/kag2/sugarcane/sugarcane015ahf.jpeg,sugarcane,3,0,0,224,224
24,kaggle/input/kag2/sugarcane/sugarcane016a.jpeg,sugarcane,3,0,0,224,224
25,kaggle/input/kag2/sugarcane/sugarcane0011a.jpeg,sugarcane,3,0,0,224,224
26,kaggle/input/kag2/sugarcane/sugarcane005ahs.jpeg,sugarcane,3,0,0,224,224
27,kaggle/input/kag2/sugarcane/sugarcane015ahs.jpeg,sugarcane,3,0,0,224,224
28,kaggle/input/kag2/sugarcane/sugarcane032a.jpeg,sugarcane,3,0,0,224,224
29,kaggle/input/kag2/sugarcane/sugarcane023ahs.jpeg,sugarcane,3,0,0,224,224
