line_num,image_path,label,croplabel,xmin,ymin,xmax,ymax
2,sugarcane/sugarcane035arot.jpeg,sugarcane,3,0,0,224,224
3,wheat/wheat049a.jpg,wheat,4,514,491,947,800
4,rice/rice035ahs.jpeg,rice,2,0,0,224,224
9,wheat/wheat013a.jpeg,wheat,4,0,0,224,224
10,jute/jute016ahf.jpeg,jute,0,0,0,224,224
11,jute/jute034arot.jpeg,jute,0,0,0,224,224
13,jute/jute028ahf.jpeg,jute,0,0,0,224,224
15,wheat/wheat022a.jpeg,wheat,4,0,0,224,224
20,wheat/wheat029a.jpeg,wheat,4,0,0,224,224
22,maize/maize005a.jpeg,maize,1,0,0,224,224
25,rice/rice009ahf.jpeg,rice,2,0,0,224,224
26,rice/rice002ahs.jpeg,rice,2,0,0,224,224
31,rice/rice002arot.jpeg,rice,2,0,0,224,224
33,maize/maize001a.jpeg,maize,1,0,0,224,224
34,maize/maize017a.jpeg,maize,1,0,0,224,224
35,jute/jute017ahf.jpeg,jute,0,0,0,224,224
37,maize/maize038ahf.jpeg,maize,1,0,0,224,224
38,wheat/wheat014ahf.jpeg,wheat,4,0,0,224,224
41,wheat/wheat004a.jpeg,wheat,4,0,0,224,224
42,sugarcane/sugarcane013ahs.jpeg,sugarcane,3,0,0,224,224
43,sugarcane/sugarcane035a.jpeg,sugarcane,3,0,0,224,224
44,wheat/wheat015ahs.jpeg,wheat,4,0,0,224,224
45,rice/rice-828540_1280.jpg,rice,2,676,283,1278,499
46,sugarcane/sugarcane029ahf.jpeg,sugarcane,3,0,0,224,224
50,rice/rice022ahf.jpeg,rice,2,0,0,224,224
51,wheat/wheat014ahs.jpeg,wheat,4,0,0,224,224
52,maize/maize036ahs.jpeg,maize,1,0,0,224,224
55,jute/jute035arot.jpeg,jute,0,0,0,224,224
57,rice/rice001arot.jpeg,rice,2,0,0,224,224
58,maize/maize006.jpeg,maize,1,0,0,224,224
63,jute/jute027ahs.jpeg,jute,0,0,0,224,224
64,sugarcane/sugarcane013a.jpeg,sugarcane,3,0,0,224,224
65,jute/jute034a.jpeg,jute,0,0,0,224,224
66,maize/maize006hs.jpeg,maize,1,0,0,224,224
67,sugarcane/sugarcane033ahs.jpeg,sugarcane,3,0,0,224,224
68,sugarcane/sugarcane029a.jpeg,sugarcane,3,0,0,224,224
71,jute/jute027arot.jpeg,jute,0,0,0,224,224
73,rice/rice001a.jpeg,rice,2,0,0,224,224
74,maize/maize031a.jpeg,maize,1,0,0,224,224
75,maize/maize005arot.jpeg,maize,1,0,0,224,224
80,rice/rice005a.jpeg,rice,2,0,0,224,224
85,maize/maize016arot.jpeg,maize,1,0,0,224,224
88,rice/rice040arot.jpeg,rice,2,0,0,224,224
90,sugarcane/sugarcane0003a.jpeg,sugarcane,3,0,0,224,224
94,rice/rice031ahs.jpeg,rice,2,0,0,224,224
95,jute/jute029ahf.jpeg,jute,0,0,0,224,224
96,wheat/wheat028arot.jpeg,wheat,4,0,0,224,224
97,sugarcane/sugarcane0002ahf.jpeg,sugarcane,3,0,0,224,224
98,wheat/wheat038arot.jpeg,wheat,4,0,0,224,224
99,wheat/wheat029ahf.jpeg,wheat,4,0,0,224,224
100,maize/maize007.jpeg,maize,1,0,0,224,224
101,maize/maize001ahf.jpeg,maize,1,0,0,224,224
102,rice/rice023arot.jpeg,rice,2,0,0,224,224
103,sugarcane/sugarcane031ahf.jpeg,sugarcane,3,0,0,224,224
107,rice/rice047a.jpg,rice,2,156,5,388,103
109,rice/rice040a.jpeg,rice,2,0,0,224,224
111,rice/rice022ahs.jpeg,rice,2,0,0,224,224
117,rice/rice048a.jpg,rice,2,839,506,1192,679
118,maize/maize032arot.jpeg,maize,1,0,0,224,224
119,maize/maize001ahs.jpeg,maize,1,0,0,224,224
120,wheat/wheat019arot.jpeg,wheat,4,0,0,224,224
122,jute/jute031arot.jpeg,jute,0,0,0,224,224
123,rice/rice003ahf.jpeg,rice,2,0,0,224,224
125,rice/rice002ahf.jpeg,rice,2,0,0,224,224
126,rice/rice028ahf.jpeg,rice,2,0,0,224,224
127,rice/rice018ahs.jpeg,rice,2,0,0,224,224
128,rice/rice028ahs.jpeg,rice,2,0,0,224,224
129,jute/jute031ahs.jpeg,jute,0,0,0,224,224
130,wheat/wheat036ahs.jpeg,wheat,4,0,0,224,224
131,rice/rice023ahs.jpeg,rice,2,0,0,224,224
132,wheat/wheat019ahs.jpeg,wheat,4,0,0,224,224
133,jute/Jute049a.jpg,jute,0,0,1,55,196
135,sugarcane/sugarcane039arot.jpeg,sugarcane,3,0,0,224,224
136,sugarcane/sugarcane005a.jpeg,sugarcane,3,0,0,224,224
137,rice/rice007a.jpeg,rice,2,0,0,224,224
139,rice/rice-828540_1280.jpg,rice,2,4,576,560,847
141,rice/rice017ahf.jpeg,rice,2,0,0,224,224
142,maize/maize009ahf.jpeg,maize,1,0,0,224,224
143,wheat/wheat016a.jpeg,wheat,4,0,0,224,224
144,rice/rice014ahf.jpeg,rice,2,0,0,224,224
145,maize/maize050a.jpg,maize,1,2,436,832,1289
146,maize/maize003ahf.jpeg,maize,1,0,0,224,224
147,rice/rice-828540_1280.jpg,rice,2,506,290,867,844
148,jute/jute027ahf.jpeg,jute,0,0,0,224,224
149,wheat/wheat010ahs.jpeg,wheat,4,0,0,224,224
150,wheat/wheat030arot.jpeg,wheat,4,0,0,224,224
151,wheat/wheat021ahs.jpeg,wheat,4,0,0,224,224
153,wheat/wheat011rot.jpeg,wheat,4,0,0,224,224
157,jute/jute015arot.jpeg,jute,0,0,0,224,224
164,wheat/wheat041a.jpg,wheat,4,275,238,472,396
165,wheat/wheat049a.jpg,wheat,4,885,481,1194,800
170,rice/rice031arot.jpeg,rice,2,0,0,224,224
172,rice/rice025ahs.jpeg,rice,2,0,0,224,224
173,wheat/wheat041a.jpg,wheat,4,377,127,474,141
175,sugarcane/sugarcane0002a.jpeg,sugarcane,3,0,0,224,224
177,maize/maize001arot.jpeg,maize,1,0,0,224,224
178,rice/rice038arot.jpeg,rice,2,0,0,224,224
180,rice/rice005arot.jpeg,rice,2,0,0,224,224
182,maize/maize048a.jpg,maize,1,5,459,2000,1500
183,wheat/wheat029arot.jpeg,wheat,4,0,0,224,224
188,jute/jute003a.jpeg,jute,0,0,0,224,224
189,wheat/wheat041a.jpg,wheat,4,1,174,189,229
190,rice/rice013arot.jpeg,rice,2,0,0,224,224
192,maize/maize048a.jpg,maize,1,1455,350,1991,868
196,wheat/wheat036a.jpeg,wheat,4,0,0,224,224
197,rice/rice047a.jpg,rice,2,123,102,381,231
198,jute/jute018a.jpeg,jute,0,0,0,224,224
200,maize/maize037arot.jpeg,maize,1,0,0,224,224
