line_num,image_path,label,croplabel,xmin,ymin,xmax,ymax
2,jute/Jute049a.jpg,jute,0,100,1,154,156
4,wheat/wheat041a.jpg,wheat,4,275,238,472,396
9,wheat/wheat041a.jpg,wheat,4,135,238,270,396
13,maize/maize050a.jpg,maize,1,2340,1184,3187,1800
19,sugarcane/sugarcane041a.jpg,sugarcane,3,1,110,208,178
24,maize/maize048a.jpg,maize,1,1303,463,1998,1187
25,rice/rice047a.jpg,rice,2,2,5,183,107
26,wheat/wheat041a.jpg,wheat,4,274,140,474,173
45,wheat/wheat041a.jpg,wheat,4,190,173,338,228
49,wheat/wheat049a.jpg,wheat,4,4,533,505,795
53,wheat/wheat049a.jpg,wheat,4,6,317,380,529
75,rice/rice047a.jpg,rice,2,1,2,470,231
77,jute/Jute049a.jpg,jute,0,242,0,317,100
80,maize/maize048a.jpg,maize,1,384,1023,841,1500
83,sugarcane/sugarcane041a.jpg,sugarcane,3,241,136,429,265
85,jute/Jute049a.jpg,jute,0,200,134,264,265
101,rice/rice-828540_1280.jpg,rice,2,676,283,1278,499
106,rice/rice-828540_1280.jpg,rice,2,919,731,1026,847
110,rice/rice048a.jpg,rice,2,623,415,1055,527
112,jute/Jute049a.jpg,jute,0,114,157,198,265
133,maize/maize050a.jpg,maize,1,2392,272,3190,660
137,wheat/wheat049a.jpg,wheat,4,885,481,1194,800
141,maize/maize048a.jpg,maize,1,1455,350,1991,868
142,maize/maize048a.jpg,maize,1,5,459,2000,1500
143,rice/rice048a.jpg,rice,2,567,318,1187,486
144,wheat/wheat049a.jpg,wheat,4,857,282,1200,480
149,wheat/wheat041a.jpg,wheat,4,1,127,136,177
150,maize/maize050a.jpg,maize,1,2,436,832,1289
153,sugarcane/sugarcane041a.jpg,sugarcane,3,221,109,472,156
154,rice/rice-828540_1280.jpg,rice,2,32,302,494,397
157,maize/maize050a.jpg,maize,1,4,429,2368,1279
169,maize/maize048a.jpg,maize,1,5,69,2000,461
180,maize/maize050a.jpg,maize,1,1535,1303,2497,1781
181,wheat/wheat041a.jpg,wheat,4,338,173,474,239
187,rice/rice-828540_1280.jpg,rice,2,869,500,1275,689
200,jute/Jute049a.jpg,jute,0,56,0,100,178
208,rice/rice-828540_1280.jpg,rice,2,1011,648,1204,847
214,maize/maize050a.jpg,maize,1,1190,191,2380,962
223,maize/maize050a.jpg,maize,1,1775,467,2687,1272
