line_num,image_path,label,croplabel,xmin,ymin,xmax,ymax
1,wheat/wheat-field02.jpg,wheat,4,444,414,540,714
2,sugarcane/sugarcane0001ahs.jpeg,sugarcane,3,0,0,224,224
3,sugarcane/sugarcane021ahs.jpeg,sugarcane,3,0,0,224,224
4,sugarcane/sugarcane035arot.jpeg,sugarcane,3,0,0,224,224
5,wheat/wheat049a.jpg,wheat,4,514,491,947,800
6,jute/juteplant.jpg,jute,0,1,20,634,396
7,rice/rice035ahs.jpeg,rice,2,0,0,224,224
8,wheat/wheat035ahf.jpeg,wheat,4,0,0,224,224
10,wheat/wheatss.jpg,wheat,4,704,109,880,586
11,rice/rice041a.jpg,rice,2,311,73,576,104
12,wheat/wheat046a.jpg,wheat,4,333,308,613,491
13,sugarcane/sugarcane049a.jpg,sugarcane,3,953,106,1280,804
14,wheat/wheat013a.jpeg,wheat,4,0,0,224,224
15,jute/jute016ahf.jpeg,jute,0,0,0,224,224
17,jute/jute034arot.jpeg,jute,0,0,0,224,224
18,rice/rice019a.jpeg,rice,2,0,0,224,224
19,jute/jute028ahf.jpeg,jute,0,0,0,224,224
20,rice/rice050a.jpg,rice,2,2,80,194,193
21,rice/rice-5174887_1280.jpg,rice,2,7,457,483,956
22,wheat/wheat022a.jpeg,wheat,4,0,0,224,224
23,wheat/wheat042a.JPG,wheat,4,434,337,756,1192
24,jute/jute040ahs.jpeg,jute,0,0,0,224,224
25,maize/maize047a.jpg,maize,1,1,38,127,379
26,wheat/wheat040ahf.jpeg,wheat,4,0,0,224,224
27,jute/jutefield.jpg,jute,0,402,1,511,249
28,jute/jute032a.jpeg,jute,0,0,0,224,224
29,maize/maize021arot.jpeg,maize,1,0,0,224,224
30,sugarcane/sugarcane007ahs.jpeg,sugarcane,3,0,0,224,224
31,wheat/wheat029a.jpeg,wheat,4,0,0,224,224
32,jute/jute050a.jpg,jute,0,0,51,206,220
33,jute/jute006arot.jpeg,jute,0,0,0,224,224
